mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
6017,BUENOS AIRES,SAN VICENTE,izq_der,91,8,0.08791208791208792,Left-right ideology,8.791208791208792
70004,SAN JUAN,RIVADAVIA,izq_der,92,8,0.08695652173913043,Left-right ideology,8.695652173913043
50008,MENDOZA,CAPITAL,izq_der,90,7,0.07777777777777778,Left-right ideology,7.777777777777778
86005,SANTIAGO DEL ESTERO,ROBLES,izq_der,75,5,0.06666666666666667,Left-right ideology,6.666666666666667
86002,SANTIAGO DEL ESTERO,BANDA,izq_der,18,1,0.05555555555555555,Left-right ideology,5.555555555555555
66005,SALTA,LA CALDERA,izq_der,92,5,0.05434782608695652,Left-right ideology,5.434782608695652
6084,BUENOS AIRES,AVELLANEDA,izq_der,185,10,0.05405405405405406,Left-right ideology,5.405405405405405
50003,MENDOZA,GODOY CRUZ,izq_der,90,4,0.044444444444444446,Left-right ideology,4.444444444444445
22004,CHACO,GENERAL GUEMES,hombre,73,2,0.0273972602739726,Male,2.73972602739726
18001,CORRIENTES,CAPITAL,hombre,90,2,0.022222222222222223,Male,2.2222222222222223
50003,MENDOZA,GODOY CRUZ,hombre,90,2,0.022222222222222223,Male,2.2222222222222223
6079,BUENOS AIRES,LANUS,hombre,92,2,0.021739130434782608,Male,2.1739130434782608
6031,BUENOS AIRES,CANUELAS,hombre,90,1,0.011111111111111112,Male,1.1111111111111112
6086,BUENOS AIRES,JOSE C. PAZ,hombre,90,1,0.011111111111111112,Male,1.1111111111111112
14005,CORDOBA,PUNILLA,hombre,90,1,0.011111111111111112,Male,1.1111111111111112
22013,CHACO,CHACABUCO,hombre,90,1,0.011111111111111112,Male,1.1111111111111112
6075,BUENOS AIRES,LOMAS DE ZAMORA,hombre,91,1,0.01098901098901099,Male,1.098901098901099
66008,SALTA,ROSARIO DE LA FRONTERA,hombre,91,1,0.01098901098901099,Male,1.098901098901099
90002,TUCUMAN,CRUZ ALTA,hombre,91,1,0.01098901098901099,Male,1.098901098901099
6084,BUENOS AIRES,AVELLANEDA,hombre,185,2,0.010810810810810811,Male,1.0810810810810811
22002,CHACO,COMANDANTE FERNANDEZ,hombre,108,1,0.009259259259259259,Male,0.9259259259259258
6011,BUENOS AIRES,LUJAN,hombre,180,1,0.005555555555555556,Male,0.5555555555555556
6002,BUENOS AIRES,GENERAL PUEYRREDON,hombre,183,1,0.00546448087431694,Male,0.546448087431694
22001,CHACO,SAN FERNANDO,hombre,184,1,0.005434782608695652,Male,0.5434782608695652
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,hombre,631,3,0.004754358161648178,Male,0.4754358161648178
14001,CORDOBA,CAPITAL,hombre,273,1,0.003663003663003663,Male,0.3663003663003663
6074,BUENOS AIRES,LA MATANZA,hombre,453,0,0,Male,0
82001,SANTA FE,ROSARIO,hombre,364,0,0,Male,0
62001,RIO NEGRO,GENERAL ROCA,hombre,273,0,0,Male,0
6083,BUENOS AIRES,TIGRE,hombre,252,0,0,Male,0
50015,MENDOZA,TUPUNGATO,hombre,182,0,0,Male,0
82004,SANTA FE,CASTELLANOS,hombre,181,0,0,Male,0
90001,TUCUMAN,TAFI VIAJO,hombre,181,0,0,Male,0
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,hombre,180,0,0,Male,0
90001,TUCUMAN,YERBA BUENA,hombre,94,0,0,Male,0
6086,BUENOS AIRES,SAN MIGUEL,hombre,92,0,0,Male,0
50001,MENDOZA,GUAYMALLEN,hombre,92,0,0,Male,0
66005,SALTA,LA CALDERA,hombre,92,0,0,Male,0
70004,SAN JUAN,RIVADAVIA,hombre,92,0,0,Male,0
90001,TUCUMAN,CAPITAL,hombre,92,0,0,Male,0
6001,BUENOS AIRES,LA PLATA,hombre,91,0,0,Male,0
6017,BUENOS AIRES,SAN VICENTE,hombre,91,0,0,Male,0
6029,BUENOS AIRES,ENSENADA,hombre,91,0,0,Male,0
6051,BUENOS AIRES,BARADERO,hombre,91,0,0,Male,0
6080,BUENOS AIRES,MORENO,hombre,91,0,0,Male,0
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,hombre,91,0,0,Male,0
58001,NEUQUEN,CONFLUENCIA,hombre,91,0,0,Male,0
6004,BUENOS AIRES,BAHIA BLANCA,hombre,90,0,0,Male,0
6010,BUENOS AIRES,PERGAMINO,hombre,90,0,0,Male,0
6015,BUENOS AIRES,BERISSO,hombre,90,0,0,Male,0
6025,BUENOS AIRES,MAGDALENA,hombre,90,0,0,Male,0
6069,BUENOS AIRES,MAR CHIQUITA,hombre,90,0,0,Male,0
6078,BUENOS AIRES,MERLO,hombre,90,0,0,Male,0
6088,BUENOS AIRES,MORON,hombre,90,0,0,Male,0
6091,BUENOS AIRES,VICENTE LOPEZ,hombre,90,0,0,Male,0
14004,CORDOBA,SAN JUSTO,hombre,90,0,0,Male,0
22008,CHACO,LIBERTAD,hombre,90,0,0,Male,0
30001,ENTRE RIOS,PARANA,hombre,90,0,0,Male,0
42001,LA PAMPA,CAPITAL,hombre,90,0,0,Male,0
42003,LA PAMPA,TOAY,hombre,90,0,0,Male,0
42007,LA PAMPA,UTRACAN,hombre,90,0,0,Male,0
50008,MENDOZA,CAPITAL,hombre,90,0,0,Male,0
66001,SALTA,CAPITAL,hombre,90,0,0,Male,0
82003,SANTA FE,GENERAL LOPEZ,hombre,90,0,0,Male,0
86005,SANTIAGO DEL ESTERO,ROBLES,hombre,75,0,0,Male,0
6076,BUENOS AIRES,QUILMES,hombre,18,0,0,Male,0
86002,SANTIAGO DEL ESTERO,BANDA,hombre,18,0,0,Male,0
6078,BUENOS AIRES,MERLO,intencion_migrar,90,5,0.05555555555555555,Migration intention,5.555555555555555
6080,BUENOS AIRES,MORENO,intencion_migrar,91,5,0.054945054945054944,Migration intention,5.4945054945054945
6086,BUENOS AIRES,SAN MIGUEL,intencion_migrar,92,4,0.043478260869565216,Migration intention,4.3478260869565215
50001,MENDOZA,GUAYMALLEN,intencion_migrar,92,4,0.043478260869565216,Migration intention,4.3478260869565215
82001,SANTA FE,ROSARIO,intencion_migrar,364,14,0.038461538461538464,Migration intention,3.8461538461538463
6086,BUENOS AIRES,JOSE C. PAZ,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
6091,BUENOS AIRES,VICENTE LOPEZ,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
50008,MENDOZA,CAPITAL,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
86005,SANTIAGO DEL ESTERO,ROBLES,intencion_migrar,75,2,0.02666666666666667,Migration intention,2.666666666666667
6011,BUENOS AIRES,LUJAN,intencion_migrar,180,4,0.022222222222222223,Migration intention,2.2222222222222223
14005,CORDOBA,PUNILLA,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
30001,ENTRE RIOS,PARANA,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
50003,MENDOZA,GODOY CRUZ,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
82003,SANTA FE,GENERAL LOPEZ,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
6017,BUENOS AIRES,SAN VICENTE,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6051,BUENOS AIRES,BARADERO,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6075,BUENOS AIRES,LOMAS DE ZAMORA,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
90002,TUCUMAN,CRUZ ALTA,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6002,BUENOS AIRES,GENERAL PUEYRREDON,intencion_migrar,183,4,0.02185792349726776,Migration intention,2.185792349726776
6079,BUENOS AIRES,LANUS,intencion_migrar,92,2,0.021739130434782608,Migration intention,2.1739130434782608
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,intencion_migrar,631,13,0.020602218700475437,Migration intention,2.0602218700475436
90001,TUCUMAN,TAFI VIAJO,intencion_migrar,181,3,0.016574585635359115,Migration intention,1.6574585635359116
6074,BUENOS AIRES,LA MATANZA,intencion_migrar,453,7,0.01545253863134658,Migration intention,1.545253863134658
6083,BUENOS AIRES,TIGRE,intencion_migrar,252,3,0.011904761904761904,Migration intention,1.1904761904761905
6010,BUENOS AIRES,PERGAMINO,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6015,BUENOS AIRES,BERISSO,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6025,BUENOS AIRES,MAGDALENA,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6069,BUENOS AIRES,MAR CHIQUITA,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6088,BUENOS AIRES,MORON,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42001,LA PAMPA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42003,LA PAMPA,TOAY,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42007,LA PAMPA,UTRACAN,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
66001,SALTA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
82004,SANTA FE,CASTELLANOS,intencion_migrar,181,2,0.011049723756906077,Migration intention,1.1049723756906076
62001,RIO NEGRO,GENERAL ROCA,intencion_migrar,273,3,0.01098901098901099,Migration intention,1.098901098901099
6029,BUENOS AIRES,ENSENADA,intencion_migrar,91,1,0.01098901098901099,Migration intention,1.098901098901099
58001,NEUQUEN,CONFLUENCIA,intencion_migrar,91,1,0.01098901098901099,Migration intention,1.098901098901099
90001,TUCUMAN,CAPITAL,intencion_migrar,92,1,0.010869565217391304,Migration intention,1.0869565217391304
90001,TUCUMAN,YERBA BUENA,intencion_migrar,94,1,0.010638297872340425,Migration intention,1.0638297872340425
14001,CORDOBA,CAPITAL,intencion_migrar,273,2,0.007326007326007326,Migration intention,0.7326007326007326
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,intencion_migrar,180,1,0.005555555555555556,Migration intention,0.5555555555555556
22001,CHACO,SAN FERNANDO,intencion_migrar,184,1,0.005434782608695652,Migration intention,0.5434782608695652
